Count;Country;code;cid;year;fstgdp;institutions;judicial;electoral;media;currcrisis;debtcrisis;bankcrisis;inflation;tradegdp;gini;debtgdp;labor;tariffs;kofglobal;koftrade;conflicts;unemployment;realconsumption;realgrosscapform;pbalance;placebo;war;independent;advanced;populist;leftpop;rightpop;popepc;populist_takeover;leftpop_takeover;rightpop_takeover;populist5;populist15
0;Argentina;ARG;1;1870;;-0.15278466;0.852;0.4;0.743;0;0;;;;;0.185;;;;;;;;;;0;0;;0;;;;;0;0;0;;
1;Argentina;ARG;1;1871;;-0.15278466;0.852;0.4;0.743;0;0;;0.068208694;;;0.328;;;;;;;;;;0;0;;0;;;;;0;0;0;;
2;Argentina;ARG;1;1872;;-0.14573081;0.852;0.405;0.743;0;0;;0.16281891;;;0.286;;;;;;;;;;0;0;;0;;;;;0;0;0;;
3;Argentina;ARG;1;1873;;-0.14573081;0.852;0.405;0.743;0;0;;0;;;0.266;;;;;;;;;;0;0;;0;;;;;0;0;0;;
4;Argentina;ARG;1;1874;;-0.16407083;0.852;0.392;0.743;0;0;;-0.024056435;;;0.263;;;;;;;;;;0;0;;0;;;;;0;0;0;;
5;Argentina;ARG;1;1875;17.042517;-0.16407083;0.852;0.392;0.743;0;0;0;-0.034501076;0.38625175;;0.266;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
6;Argentina;ARG;1;1876;16.880302;-0.15419543;0.852;0.399;0.743;0;0;0;0.023132324;0.37460858;;0.284;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
7;Argentina;ARG;1;1877;18.096703;-0.15419543;0.852;0.399;0.743;0;0;0;0.11298275;0.374104;;0.234;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
8;Argentina;ARG;1;1878;16.628372;-0.15419543;0.852;0.399;0.743;0;0;0;0.020988464;0.37544355;;0.238;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
9;Argentina;ARG;1;1879;16.840427;-0.15419543;0.852;0.399;0.743;0;0;0;0.050253868;0.38951635;;0.231;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
10;Argentina;ARG;1;1880;15.995418;0.1330249;0.852;0.4;0.743;0;0;0;0.018841743;0.3975807;;0.259;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
11;Argentina;ARG;1;1881;15.756053;0.1330249;0.852;0.4;0.743;0;0;0;-0.25080204;0.40539616;;0.292;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
